Rank;Person A;Person B;Recommendation;Uncertainty Score;Samples A;Samples B;Fail Rate A;Fail Rate B;Fail Reasons A;Fail Reasons B;Intra Variance A;Intra Variance B;Confusion Distance;Outliers A;Outliers B;Issue A;Issue B
1;Diamond Mason;Aaliyah Envy;Extremt lika embeddings (avstånd 0.104). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Diamond Mason har 71% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Aaliyah Envy har bara 3 bilder – samla fler träningsbilder.;0.678;5;3;71%;0%;"no_faces(8); high_yaw(7)";;0.2792;0.1490;0.1038;0;0;"Få träningsbilder (5 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Aaliyah Envy (avstånd 0.104); Hög andel misslyckade bilder (71%)";"Mycket få träningsbilder (3 st); Ömsesidig förväxling med Diamond Mason (avstånd 0.104)"
2;Linsey Dawn Mckenzie;Linsey Dawn McKenzie;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Linsey Dawn Mckenzie' och 'Linsey Dawn McKenzie' i merge.txt. | Linsey Dawn Mckenzie har 51% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.644;4;30;51%;0%;"high_yaw(23); no_faces(13)";;0.2562;0.3251;0.1669;0;1;"Få träningsbilder (4 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Linsey Dawn McKenzie (avstånd 0.167); Hög andel misslyckade bilder (51%)";"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Linsey Dawn Mckenzie (avstånd 0.167); 1 outlier-embedding(s)"
3;Svenja;Hot Svenja;Extremt lika embeddings (avstånd 0.081). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Svenja har 68% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Hot Svenja har 69% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.584;14;12;68%;69%;"no_faces(17); high_yaw(11); low_focus(2)";ok(27);0.3974;0.2483;0.0814;0;1;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Hot Svenja (avstånd 0.081); Hög andel misslyckade bilder (68%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Svenja (avstånd 0.081); Hög andel misslyckade bilder (69%); 1 outlier-embedding(s)"
4;Fay Suicide;Fay;Hög varians i Fay tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Fay Suicide har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Fay Suicide har bara 3 bilder – samla fler träningsbilder.;0.556;3;5;70%;0%;"ok(14); multiple_faces(10); high_yaw(3)";;0.2330;0.3711;0.3393;0;0;"Mycket få träningsbilder (3 st); Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Fay (avstånd 0.339); Hög andel misslyckade bilder (70%)";"Få träningsbilder (5 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Fay Suicide (avstånd 0.339)"
5;Strapon Jane;Sofia Valentine;Hög varians i Strapon Jane tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Strapon Jane har 69% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Sofia Valentine har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.550;8;17;69%;66%;"high_yaw(11); low_focus(3); no_faces(2)";"high_yaw(28); no_faces(4); low_focus(1)";0.4345;0.1843;0.4388;1;0;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Sofia Valentine (avstånd 0.439); Hög andel misslyckade bilder (69%); 1 outlier-embedding(s)";"Ömsesidig förväxling med Strapon Jane (avstånd 0.439); Hög andel misslyckade bilder (66%)"
6;Venus;Venus Rosales;Extremt lika embeddings (avstånd 0.110). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Venus Rosales har 70% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.545;11;28;0%;70%;;"no_faces(30); high_yaw(29); low_focus(18)";0.3571;0.1773;0.1099;0;2;"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Venus Rosales (avstånd 0.110)";"Ömsesidig förväxling med Venus (avstånd 0.110); Hög andel misslyckade bilder (70%); 2 outlier-embedding(s)"
7;Dion De Rossi;Nickey Huntsman;Hög varians i Dion De Rossi tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Dion De Rossi har 80% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Nickey Huntsman har 72% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Dion De Rossi har bara 3 bilder – samla fler träningsbilder.;0.532;3;14;80%;72%;"high_yaw(6); no_faces(5); low_focus(1)";"no_faces(19); high_yaw(14); low_focus(2)";0.4137;0.1864;0.5303;0;1;"Mycket få träningsbilder (3 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Nickey Huntsman (avstånd 0.530); Hög andel misslyckade bilder (80%)";"Ömsesidig förväxling med Dion De Rossi (avstånd 0.530); Hög andel misslyckade bilder (72%); 1 outlier-embedding(s)"
8;Anna Blue;Anne Blue;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Anna Blue' och 'Anne Blue' i merge.txt. | Anna Blue har 66% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.532;8;22;66%;0%;"ok(36); high_yaw(13); no_faces(7)";;0.0983;0.1292;0.0147;0;1;"Ömsesidig förväxling med Anne Blue (avstånd 0.015); Hög andel misslyckade bilder (66%)";"Ömsesidig förväxling med Anna Blue (avstånd 0.015); 1 outlier-embedding(s)"
9;Hotaru Tsukasa;Hikari Hino;Hög varians i Hotaru Tsukasa tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person. | Hotaru Tsukasa har 78% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Hikari Hino har 64% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.531;10;22;78%;64%;"high_yaw(23); low_focus(10); ok(3)";"no_faces(20); high_yaw(10); low_focus(2)";0.2629;0.2172;0.2334;0;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Hikari Hino (avstånd 0.233); Hög andel misslyckade bilder (78%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Hotaru Tsukasa (avstånd 0.233); Hög andel misslyckade bilder (64%); 1 outlier-embedding(s)"
10;Sneila;Susie Pink;Extremt lika embeddings (avstånd 0.046). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder.;0.520;5;9;0%;25%;;"high_yaw(1); low_focus(1); no_faces(1)";0.1075;0.1441;0.0463;0;0;"Få träningsbilder (5 st); Ömsesidig förväxling med Susie Pink (avstånd 0.046)";Ömsesidig förväxling med Sneila (avstånd 0.046)
11;Alissa Foxy;Victoria Garin;Extremt lika embeddings (avstånd 0.067). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Alissa Foxy har 53% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.516;14;97;53%;0%;"high_yaw(11); no_faces(5)";;0.2451;0.2461;0.0673;1;3;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Victoria Garin (avstånd 0.067); Hög andel misslyckade bilder (53%); 1 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Alissa Foxy (avstånd 0.067); 3 outlier-embedding(s)"
12;Ardelia Alina;Ardelia A;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Ardelia Alina' och 'Ardelia A' i merge.txt.;0.516;12;24;50%;0%;"no_faces(15); high_yaw(9); low_focus(7)";;0.1771;0.2082;0.0317;1;1;"Ömsesidig förväxling med Ardelia A (avstånd 0.032); 1 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Ardelia Alina (avstånd 0.032); 1 outlier-embedding(s)"
13;Sybil A Kailena;Sybil A;Extremt lika embeddings (avstånd 0.016). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Sybil A Kailena har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.516;70;48;59%;49%;"high_yaw(8); no_faces(1); low_focus(1)";"ok(58); high_yaw(25)";0.2950;0.2960;0.0160;2;2;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sybil A (avstånd 0.016); Hög andel misslyckade bilder (59%); 2 outlier-embedding(s)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Sybil A Kailena (avstånd 0.016); 2 outlier-embedding(s)"
14;Melisa A;Melissa Mendiny;Extremt lika embeddings (avstånd 0.118). Kan vara samma person under olika namn, eller blandade bilder i bådas mappar. → Kontrollera bilderna i båda mapparna. Om samma person: merge. Om olika: rensa felplacerade bilder. | Melisa A har 78% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.514;11;79;78%;31%;"high_yaw(23); low_focus(8); no_faces(8)";ok(35);0.1394;0.2515;0.1185;0;4;"Ömsesidig förväxling med Melissa Mendiny (avstånd 0.118); Hög andel misslyckade bilder (78%)";"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Melisa A (avstånd 0.118); 4 outlier-embedding(s)"
15;Dana Dearmond;Dana DeArmond;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Dana Dearmond' och 'Dana DeArmond' i merge.txt. | Dana DeArmond har 59% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.512;8;37;0%;59%;;"high_yaw(33); low_focus(6); no_faces(2)";0.2620;0.3115;0.2581;1;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Dana DeArmond (avstånd 0.258); 1 outlier-embedding(s)";"Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Dana Dearmond (avstånd 0.258); Hög andel misslyckade bilder (59%); 1 outlier-embedding(s)"
16;Helena Jonic;Rita Fox;Hög varians i Helena Jonic tyder på blandade identiteter. → Granska bilderna i mappen och flytta felplacerade bilder till rätt person.;0.509;6;27;40%;46%;"high_yaw(2); no_faces(2)";"high_yaw(15); no_faces(4); low_focus(3)";0.3474;0.1772;0.3768;0;1;"Få träningsbilder (6 st); Hög varians – troligen blandade identiteter i mappen; Ömsesidig förväxling med Rita Fox (avstånd 0.377)";"Ömsesidig förväxling med Helena Jonic (avstånd 0.377); 1 outlier-embedding(s)"
17;Veronica Ngo;Veronica N;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Veronica Ngo' och 'Veronica N' i merge.txt.;0.505;16;24;45%;0%;"no_faces(19); high_yaw(4); low_focus(4)";;0.2375;0.1628;0.0207;2;1;"Medelhög varians – möjligen blandade bilder; Ömsesidig förväxling med Veronica N (avstånd 0.021); 2 outlier-embedding(s)";"Ömsesidig förväxling med Veronica Ngo (avstånd 0.021); 1 outlier-embedding(s)"
18;Kris the Foxx;Kris The Foxx;Namnen är nästan identiska – troligen samma person. → MERGE: Slå ihop 'Kris the Foxx' och 'Kris The Foxx' i merge.txt. | Kris the Foxx har 56% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre. | Kris The Foxx har 57% misslyckade bilder – byt ut lågkvalitetsbilder mot bättre.;0.505;12;20;56%;57%;"high_yaw(7); no_faces(6); low_focus(2)";"no_faces(12); high_yaw(12); low_focus(3)";0.1993;0.1945;0.0185;0;1;"Ömsesidig förväxling med Kris The Foxx (avstånd 0.019); Hög andel misslyckade bilder (56%)";"Ömsesidig förväxling med Kris the Foxx (avstånd 0.019); Hög andel misslyckade bilder (57%); 1 outlier-embedding(s)"
